## Fri Feb 17 08:44:46 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
bll0272	224911.27348519	1.97e-185	515.0	COG2267@1|root,COG2267@2|Bacteria,1QU41@1224|Proteobacteria,2TVZU@28211|Alphaproteobacteria,3JWGP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	I	Alpha/beta hydrolase family	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_6
blr0274	224911.27348521	5.56e-72	216.0	2EQ6B@1|root,33HSN@2|Bacteria,1RJFQ@1224|Proteobacteria,2UBJY@28211|Alphaproteobacteria,3JZQB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0275	224911.27348522	3.48e-114	327.0	29E0B@1|root,300Y9@2|Bacteria,1N5GM@1224|Proteobacteria,2UBZT@28211|Alphaproteobacteria,3K0QU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0276	224911.27348523	3.49e-269	738.0	COG0845@1|root,COG0845@2|Bacteria,1MW65@1224|Proteobacteria,2TSB6@28211|Alphaproteobacteria,3JUVF@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Biotin-lipoyl like	-	-	-	ko:K07799,ko:K18990	ko02020,map02020	M00648,M00720	-	-	ko00000,ko00001,ko00002,ko02000	2.A.6.2.30,8.A.1	-	-	Biotin_lipoyl_2,HlyD_D23
blr0277	224911.27348524	0.0	1942.0	COG0841@1|root,COG0841@2|Bacteria,1MU48@1224|Proteobacteria,2TQT0@28211|Alphaproteobacteria,3JTKF@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	V	MMPL family	MA20_13680	-	-	ko:K03296,ko:K07788,ko:K07789	ko02020,map02020	M00648	-	-	ko00000,ko00001,ko00002,ko02000	2.A.6.2	-	-	ACR_tran
blr0278	224911.27348525	4.51e-92	269.0	COG5496@1|root,COG5496@2|Bacteria,1RIY6@1224|Proteobacteria,2U68P@28211|Alphaproteobacteria,3JZV6@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Thioesterase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	4HBT
blr0279	224911.27348526	0.0	1215.0	COG2202@1|root,COG4191@1|root,COG2202@2|Bacteria,COG4191@2|Bacteria,1RCM9@1224|Proteobacteria,2TR8X@28211|Alphaproteobacteria,3JW15@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	-	-	-	-	-	DUF4118,HATPase_c,HisKA,PAS,PAS_3,PAS_4,PAS_8,PAS_9
bll0280	224911.27348527	0.0	1546.0	COG0243@1|root,COG0243@2|Bacteria,1MU6B@1224|Proteobacteria,2TTUX@28211|Alphaproteobacteria,3JUJ5@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	MA20_13695	-	-	-	-	-	-	-	-	-	-	-	Molybdopterin,Molydop_binding
blr0281	224911.27348528	1e-316	860.0	COG2140@1|root,COG2140@2|Bacteria,1MUZA@1224|Proteobacteria,2TTMU@28211|Alphaproteobacteria,3JTKQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Cupin	-	-	4.1.1.2	ko:K01569	ko00630,ko01100,map00630,map01100	-	R00522	RC00321	ko00000,ko00001,ko01000	-	-	-	Cupin_1
bll0282	224911.27348529	4.33e-234	644.0	COG1294@1|root,COG1294@2|Bacteria,1MURP@1224|Proteobacteria,2TU3I@28211|Alphaproteobacteria,3JT59@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	oxidase, subunit II	-	-	1.10.3.14	ko:K00426	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_II
bll0283	224911.27348530	0.0	935.0	COG1271@1|root,COG1271@2|Bacteria,1MV60@1224|Proteobacteria,2TQMA@28211|Alphaproteobacteria,3JREF@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Cytochrome bd terminal oxidase subunit I	-	-	1.10.3.14	ko:K00425	ko00190,ko01100,ko02020,map00190,map01100,map02020	M00153	R11325	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.4.3	-	-	Cyt_bd_oxida_I
bll0284	224911.27348531	0.0	1030.0	COG0579@1|root,COG0579@2|Bacteria,1MUCC@1224|Proteobacteria,2TV6W@28211|Alphaproteobacteria,3JXBP@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor	mqo	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0016491,GO:0044424,GO:0044464,GO:0055114	1.1.5.4	ko:K00116	ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00009,M00011	R00360,R00361,R01257	RC00031	ko00000,ko00001,ko00002,ko01000	-	-	-	Mqo
bll0285	224911.27348532	3.75e-98	284.0	COG1917@1|root,COG1917@2|Bacteria,1RJBF@1224|Proteobacteria,2U88U@28211|Alphaproteobacteria,3JZ6A@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Cupin 2, conserved barrel domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2
bll0286	224911.27348533	0.0	1106.0	COG0114@1|root,COG0114@2|Bacteria,1MUQI@1224|Proteobacteria,2TQM7@28211|Alphaproteobacteria,3JRH9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	GO:0003674,GO:0003824,GO:0004333,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006106,GO:0006108,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0045333,GO:0055114,GO:0071704,GO:0072350	4.2.1.2	ko:K01679	ko00020,ko00620,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04934,ko05200,ko05211,map00020,map00620,map00720,map01100,map01110,map01120,map01130,map01200,map04934,map05200,map05211	M00009,M00011,M00173,M00376	R01082	RC00443	ko00000,ko00001,ko00002,ko01000	-	-	-	FumaraseC_C,Lyase_1
bll0287	224911.27348534	1.88e-153	432.0	COG3619@1|root,COG3619@2|Bacteria,1R7CI@1224|Proteobacteria,2TRXB@28211|Alphaproteobacteria,3JWU4@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF1275)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1275
bll0288	224911.27348535	2.49e-192	534.0	COG1526@1|root,COG1526@2|Bacteria,1NRU0@1224|Proteobacteria,2TUD2@28211|Alphaproteobacteria,3JQMD@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH	fdhD	-	-	ko:K02379	-	-	-	-	ko00000	-	-	-	FdhD-NarQ
bll0289	224911.27348536	9.13e-133	377.0	COG3247@1|root,COG3247@2|Bacteria,1RFIH@1224|Proteobacteria,2U84T@28211|Alphaproteobacteria,3JTXQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Short repeat of unknown function (DUF308)	-	-	-	-	-	-	-	-	-	-	-	-	DUF308
bll0290	224911.27348537	1.41e-119	341.0	COG0783@1|root,COG0783@2|Bacteria,1RAC5@1224|Proteobacteria,2U5Q5@28211|Alphaproteobacteria,3JUQ1@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Ferritin-like domain	-	-	-	ko:K04047	-	-	-	-	ko00000,ko03036	-	-	-	Ferritin
bll0291	224911.27348538	4.41e-125	357.0	COG3038@1|root,COG3038@2|Bacteria,1MZ7X@1224|Proteobacteria,2UBYU@28211|Alphaproteobacteria,3JVNU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Prokaryotic cytochrome b561	-	-	-	ko:K12262	-	-	-	-	ko00000	-	-	-	Ni_hydr_CYTB,YceI
bll0292	224911.27348539	6.06e-315	857.0	COG0753@1|root,COG0753@2|Bacteria,1MUXZ@1224|Proteobacteria,2TSG9@28211|Alphaproteobacteria,3JTVR@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Has an organic peroxide-dependent peroxidase activity	-	-	1.11.1.6	ko:K03781	ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014	M00532	R00009,R00602,R02670	RC00034,RC00767,RC02141,RC02755	ko00000,ko00001,ko00002,ko01000	-	-	-	Catalase
blr0293	224911.27348540	1.39e-229	632.0	COG1028@1|root,COG1028@2|Bacteria,1PTQR@1224|Proteobacteria,2TQN4@28211|Alphaproteobacteria,3JTBN@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	IQ	NAD dependent epimerase/dehydratase family	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
blr0294	224911.27348541	0.0	1925.0	COG3710@1|root,COG3903@1|root,COG3710@2|Bacteria,COG3903@2|Bacteria,1MWPD@1224|Proteobacteria,2TQQR@28211|Alphaproteobacteria,3JTWJ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	AAA_22,TPR_4,Trans_reg_C
bll0295	224911.27348542	0.0	1892.0	COG3710@1|root,COG3903@1|root,COG3710@2|Bacteria,COG3903@2|Bacteria,1MWPD@1224|Proteobacteria,2TQQR@28211|Alphaproteobacteria,3JTWJ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	AAA_22,NB-ARC,Trans_reg_C
bsl0296	224911.27348544	3.87e-56	175.0	29ES9@1|root,301Q2@2|Bacteria,1N9A3@1224|Proteobacteria,2UHM1@28211|Alphaproteobacteria,3K0W8@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0297	224911.27348545	0.0	932.0	COG0683@1|root,COG0683@2|Bacteria,1R7TD@1224|Proteobacteria,2TUHI@28211|Alphaproteobacteria,3JUEK@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Receptor family ligand binding region	-	-	-	-	-	-	-	-	-	-	-	-	Peripla_BP_6
blr0299	224911.27348547	0.0	1863.0	COG3710@1|root,COG3903@1|root,COG3710@2|Bacteria,COG3903@2|Bacteria,1MWPD@1224|Proteobacteria,2TQQR@28211|Alphaproteobacteria,3JR3V@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Transcriptional regulatory protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	AAA_22,NB-ARC,Trans_reg_C
bll0300	224911.27348548	1.12e-284	780.0	COG0845@1|root,COG0845@2|Bacteria,1NQZ0@1224|Proteobacteria,2U105@28211|Alphaproteobacteria,3JV31@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Biotin-lipoyl like	ragD	-	-	-	-	-	-	-	-	-	-	-	HlyD_D23
bll0301	224911.27348549	0.0	1996.0	COG0841@1|root,COG0841@2|Bacteria,1MU48@1224|Proteobacteria,2TQT0@28211|Alphaproteobacteria,3JUNM@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	V	AcrB/AcrD/AcrF family	MA20_13830	-	-	-	-	-	-	-	-	-	-	-	ACR_tran
bll0302	224911.27348550	2.32e-207	575.0	COG0568@1|root,COG0568@2|Bacteria,1MVWR@1224|Proteobacteria,2TTJY@28211|Alphaproteobacteria,3JTKS@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Sigma-70, region 4	rpoH3	-	-	ko:K03089	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4
bll0303	224911.27348551	0.0	917.0	COG0642@1|root,COG2205@2|Bacteria,1MW8M@1224|Proteobacteria,2TSD2@28211|Alphaproteobacteria,3JX7B@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	His Kinase A (phosphoacceptor) domain	ragB	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
bll0304	224911.27348552	3.55e-231	636.0	COG0745@1|root,COG0745@2|Bacteria,1PDAM@1224|Proteobacteria,2TSR2@28211|Alphaproteobacteria,3JWD9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	Transcriptional regulatory protein, C terminal	ragA	-	-	ko:K02483	-	-	-	-	ko00000,ko02022	-	-	-	Response_reg,Trans_reg_C
blr0305	224911.27348553	1.98e-83	246.0	2ACBU@1|root,311WV@2|Bacteria,1N2H6@1224|Proteobacteria,2UC3Y@28211|Alphaproteobacteria,3K1HQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr0306	224911.27348554	5.18e-60	187.0	29394@1|root,30WNA@2|Bacteria,1REEF@1224|Proteobacteria,2U752@28211|Alphaproteobacteria,3JYY0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0307	224911.27348555	1.25e-212	589.0	COG1737@1|root,COG1737@2|Bacteria,1MV3U@1224|Proteobacteria,2U5XH@28211|Alphaproteobacteria,3K0SS@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Helix-turn-helix domain, rpiR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_6,SIS
blr0308	224911.27348556	0.0	1040.0	COG0747@1|root,COG0747@2|Bacteria,1MWBH@1224|Proteobacteria,2TTF4@28211|Alphaproteobacteria,3JWPK@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Bacterial extracellular solute-binding proteins, family 5 Middle	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
blr0309	224911.27348557	4.73e-215	595.0	COG0601@1|root,COG0601@2|Bacteria,1MU8Z@1224|Proteobacteria,2TRH6@28211|Alphaproteobacteria,3JXQH@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	EP	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02033	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
blr0310	224911.27348558	2.71e-200	555.0	COG1173@1|root,COG1173@2|Bacteria,1MVER@1224|Proteobacteria,2TRB3@28211|Alphaproteobacteria,3K35Q@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	U	N-terminal TM domain of oligopeptide transport permease C	-	-	-	ko:K02034	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1,OppC_N
blr0311	224911.27348559	6.86e-229	630.0	COG0444@1|root,COG0444@2|Bacteria,1R4KB@1224|Proteobacteria,2TR0J@28211|Alphaproteobacteria,3K2XE@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	EP	Oligopeptide/dipeptide transporter, C-terminal region	-	-	-	ko:K02031	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,oligo_HPY
blr0312	224911.27348560	1.73e-219	606.0	COG4608@1|root,COG4608@2|Bacteria,1NTKX@1224|Proteobacteria,2UP8E@28211|Alphaproteobacteria,3K3MU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Oligopeptide/dipeptide transporter, C-terminal region	-	-	-	ko:K02032	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,oligo_HPY
bll0313	224911.27348561	3.74e-244	672.0	COG1633@1|root,COG1633@2|Bacteria,1R5CQ@1224|Proteobacteria,2U0D5@28211|Alphaproteobacteria,3JRK7@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)	-	-	-	-	-	-	-	-	-	-	-	-	Rubrerythrin
blr0314	224911.27348562	0.0	1541.0	COG0348@1|root,COG3901@1|root,COG0348@2|Bacteria,COG3901@2|Bacteria,1MY5M@1224|Proteobacteria,2TR0X@28211|Alphaproteobacteria,3JV8E@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	CK	FMN_bind	nosR	-	-	ko:K19339	-	-	-	-	ko00000,ko03000	-	-	-	FMN_bind,Fer4_5
blr0315	224911.27348563	0.0	1321.0	COG4263@1|root,COG4263@2|Bacteria,1MVIH@1224|Proteobacteria,2TTB5@28211|Alphaproteobacteria,3JSA6@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Nitrous-oxide reductase is part of a bacterial respiratory system which is activated under anaerobic conditions in the presence of nitrate or nitrous oxide	nosZ	-	1.7.2.4	ko:K00376	ko00910,ko01120,map00910,map01120	M00529	R02804	RC02861	ko00000,ko00001,ko00002,ko01000	-	-	-	COX2,Cupredoxin_1
blr0316	224911.27348564	0.0	909.0	COG3420@1|root,COG3420@2|Bacteria,1MVCD@1224|Proteobacteria,2TQTC@28211|Alphaproteobacteria,3JVW3@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	P	Domain present in carbohydrate binding proteins and sugar hydrolses	nosD	-	-	ko:K07218	-	-	-	-	ko00000	-	-	-	NosD
blr0317	224911.27348565	2.44e-211	584.0	COG1131@1|root,COG1131@2|Bacteria,1MUX3@1224|Proteobacteria,2TSI2@28211|Alphaproteobacteria,3JQY0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	V	AAA domain, putative AbiEii toxin, Type IV TA system	nosF	-	-	ko:K01990,ko:K19340	ko02010,map02010	M00254,M00762	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1,3.A.1.132.2	-	-	ABC_tran
blr0318	224911.27348566	1.1e-173	487.0	COG1277@1|root,COG1277@2|Bacteria,1MWUZ@1224|Proteobacteria,2U10D@28211|Alphaproteobacteria,3JVMB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	ABC-2 family transporter protein	nosY	-	-	ko:K01992,ko:K19341	ko02010,map02010	M00254,M00762	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1,3.A.1.132.2	-	-	ABC2_membrane_2
blr0319	224911.27348567	1.56e-127	362.0	COG4314@1|root,COG4314@2|Bacteria,1RE78@1224|Proteobacteria,2U7BU@28211|Alphaproteobacteria,3JYCT@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	NosL	nosL	-	-	ko:K19342	-	-	-	-	ko00000	-	-	-	NosL
blr0320	224911.27348568	1.98e-232	640.0	COG1477@1|root,COG1477@2|Bacteria,1MW6K@1224|Proteobacteria,2TRUU@28211|Alphaproteobacteria,3JTZN@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	Flavin transferase that catalyzes the transfer of the FMN moiety of FAD and its covalent binding to the hydroxyl group of a threonine residue in a target flavoprotein	nosX	-	2.7.1.180	ko:K03734	-	-	-	-	ko00000,ko01000	-	-	-	ApbE
blr0321	224911.27348569	1.27e-83	246.0	29Z2D@1|root,30KZU@2|Bacteria,1RDV5@1224|Proteobacteria,2U7QX@28211|Alphaproteobacteria,3JZ08@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll0322	224911.27348570	0.0	985.0	COG0380@1|root,COG0380@2|Bacteria,1MUIY@1224|Proteobacteria,2TQMP@28211|Alphaproteobacteria,3JUU9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Probably involved in the osmoprotection via the biosynthesis of trehalose. Catalyzes the transfer of glucose from UDP-glucose (UDP-Glc) to D-glucose 6-phosphate (Glc-6-P) to form trehalose-6-phosphate. Acts with retention of the anomeric configuration of the UDP-sugar donor	otsA	-	2.4.1.15,2.4.1.347	ko:K00697	ko00500,ko01100,map00500,map01100	-	R02737	RC00005,RC00049,RC02748	ko00000,ko00001,ko01000,ko01003	-	GT20	-	Glyco_transf_20
bll0323	224911.27348571	3.71e-196	543.0	COG1877@1|root,COG1877@2|Bacteria,1RGY2@1224|Proteobacteria,2U9NF@28211|Alphaproteobacteria,3JS8I@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Removes the phosphate from trehalose 6-phosphate to produce free trehalose	otsB	-	3.1.3.12	ko:K01087	ko00500,ko01100,map00500,map01100	-	R02778	RC00017	ko00000,ko00001,ko01000	-	-	-	Trehalose_PPase
bll0324	224911.27348572	0.0	988.0	COG0477@1|root,COG2814@2|Bacteria,1MVKJ@1224|Proteobacteria,2TUK5@28211|Alphaproteobacteria,3JQXB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	EGP	Sugar (and other) transporter	MA20_39450	-	-	-	-	-	-	-	-	-	-	-	Sugar_tr
blr0325	224911.27348573	8.65e-72	216.0	2C3CF@1|root,32RRR@2|Bacteria,1MZUG@1224|Proteobacteria,2UC1Q@28211|Alphaproteobacteria,3K03D@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF3175)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3175
bll0326	224911.27348574	0.0	1121.0	COG0840@1|root,COG2770@1|root,COG0840@2|Bacteria,COG2770@2|Bacteria,1MU9B@1224|Proteobacteria,2TQR7@28211|Alphaproteobacteria,3JSI9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	NT	chemotaxis	-	-	-	-	-	-	-	-	-	-	-	-	HAMP,HBM,MCPsignal
bll0327	224911.27348575	0.0	1234.0	COG0840@1|root,COG2770@1|root,COG0840@2|Bacteria,COG2770@2|Bacteria,1MU9B@1224|Proteobacteria,2TQR7@28211|Alphaproteobacteria,3JSI9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	NT	chemotaxis	MA20_39440	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	HAMP,MCPsignal
blr0328	224911.27348576	1.35e-281	769.0	COG3287@1|root,COG3287@2|Bacteria,1MVUZ@1224|Proteobacteria,2TRRI@28211|Alphaproteobacteria,3JSSM@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	FIST_C	-	-	-	-	-	-	-	-	-	-	-	-	FIST,FIST_C
blr0329	224911.27348577	3.13e-308	842.0	COG0642@1|root,COG0745@1|root,COG0745@2|Bacteria,COG2205@2|Bacteria,1MUY7@1224|Proteobacteria,2TR1M@28211|Alphaproteobacteria,3JQQ0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	His Kinase A (phosphoacceptor) domain	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,Response_reg
bll0330	224911.27348578	2.55e-153	432.0	COG2197@1|root,COG2197@2|Bacteria,1P4TD@1224|Proteobacteria,2U06A@28211|Alphaproteobacteria,3JWKG@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	helix_turn_helix, Lux Regulon	-	-	-	-	-	-	-	-	-	-	-	-	GerE,Response_reg
bll0331	224911.27348579	3.52e-153	431.0	COG2197@1|root,COG2197@2|Bacteria,1P4TD@1224|Proteobacteria,2U06A@28211|Alphaproteobacteria,3JWK9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	helix_turn_helix, Lux Regulon	-	-	-	-	-	-	-	-	-	-	-	-	GerE,Response_reg
bll0332	224911.27348580	0.0	865.0	COG0834@1|root,COG2010@1|root,COG0834@2|Bacteria,COG2010@2|Bacteria,1MVR7@1224|Proteobacteria,2TVH7@28211|Alphaproteobacteria,3JRDC@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	CET	Bacterial periplasmic substrate-binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	Cytochrome_CBB3,SBP_bac_3
bll0333	224911.27348581	0.0	1201.0	COG4993@1|root,COG4993@2|Bacteria,1MUQX@1224|Proteobacteria,2TS2Q@28211|Alphaproteobacteria,3JRZ3@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	PQQ-like domain	-	-	-	-	-	-	-	-	-	-	-	-	PQQ
bll0334	224911.27348582	8.6e-108	311.0	COG3427@1|root,COG3427@2|Bacteria,1RHUC@1224|Proteobacteria,2U9HD@28211|Alphaproteobacteria,3JXQ3@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Carbon monoxide dehydrogenase subunit G (CoxG)	-	-	-	ko:K09386	-	-	-	-	ko00000	-	-	-	COXG
blr0335	224911.27348583	3.56e-192	533.0	COG2080@1|root,COG2080@2|Bacteria,1RD8C@1224|Proteobacteria,2U5BM@28211|Alphaproteobacteria,3JSU8@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	[2Fe-2S] binding domain	coxS	-	1.2.5.3	ko:K03518	-	-	R11168	RC02800	ko00000,ko01000	-	-	-	Fer2,Fer2_2
blr0336	224911.27348584	0.0	1545.0	COG1529@1|root,COG1529@2|Bacteria,1MUEA@1224|Proteobacteria,2TQMW@28211|Alphaproteobacteria,3JR85@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain	coxL	-	1.2.5.3	ko:K03520	-	-	R11168	RC02800	ko00000,ko01000	-	-	-	Ald_Xan_dh_C,Ald_Xan_dh_C2
blr0337	224911.27348585	2.56e-179	500.0	COG1319@1|root,COG1319@2|Bacteria,1MUDB@1224|Proteobacteria,2TRA8@28211|Alphaproteobacteria,3JRWD@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	CO dehydrogenase flavoprotein C-terminal domain	coxM	-	1.2.5.3	ko:K03519	-	-	R11168	RC02800	ko00000,ko01000	-	-	-	CO_deh_flav_C,FAD_binding_5
blr0338	224911.27348586	3.45e-284	776.0	COG1804@1|root,COG1804@2|Bacteria,1MW1H@1224|Proteobacteria,2TR7D@28211|Alphaproteobacteria,3JUQ6@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	C	CoA-transferase family III	MA20_39420	-	5.1.99.4	ko:K01796	ko00120,ko01100,ko04146,map00120,map01100,map04146	M00104	R08734,R08739	RC02345	ko00000,ko00001,ko00002,ko01000	-	-	-	CoA_transf_3
