,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
bll5395,BA000040.2,5933371,5933760,-,rplV,rplV,50S ribosomal protein L22,"Translation, ribosomal structure and biogenesis",Q89J89,Op3412,
bll5397,BA000040.2,5934062,5934895,-,rplB,rplB,50S ribosomal protein L2,"Translation, ribosomal structure and biogenesis",Q89J87,Op3412,
bll5398,BA000040.2,5934908,5935210,-,rplW,AAV28_RS23800,50S ribosomal protein L23,"Translation, ribosomal structure and biogenesis",Q89J86,Op3412,
bll5399,BA000040.2,5935207,5935869,-,rplD,rplD,50S ribosomal protein L4,"Translation, ribosomal structure and biogenesis",Q89J85,Op3412,
bll5400,BA000040.2,5935829,5936545,-,rplC,rplC,50S ribosomal protein L3,"Translation, ribosomal structure and biogenesis",Q89J84,Op3412,
bll5401,BA000040.2,5936598,5936906,-,rpsJ,rpsJ,30S ribosomal protein S10,"Translation, ribosomal structure and biogenesis",Q89J83,Op3413,
bll5402,BA000040.2,5936988,5938178,-,tuf,tuf,elongation factor Tu,"Translation, ribosomal structure and biogenesis",Q89J82,Op3414,
bll5403,BA000040.2,5938219,5940291,-,fusA,fusA,elongation factor G,"Translation, ribosomal structure and biogenesis",Q89J81,Op3414,
bll5404,BA000040.2,5940325,5940795,-,rpsG,rpsG,30S ribosomal protein S7,"Translation, ribosomal structure and biogenesis",Q89J80,Op3414,
bll5405,BA000040.2,5940811,5941182,-,rpsL,rpsL,30S ribosomal protein S12,"Translation, ribosomal structure and biogenesis",Q89J79,Op3414,
bll5407,BA000040.2,5943036,5945063,-,bll5407,AAV28_RS23845,ABC transporter ATP-binding protein/permease,Defense mechanisms,Q89J77,Op3416,
bll5408,BA000040.2,5945197,5947257,-,bll5408,AAV28_RS23850,FAD-dependent oxidoreductase,Coenzyme transport and metabolism,Q89J76,Op3417,
bll5409,BA000040.2,5947450,5951646,-,rpoC,rpoC,DNA-directed RNA polymerase subunit beta',Transcription,Q89J75,Op3418,
bll5410,BA000040.2,5951778,5955896,-,rpoB,rpoB,DNA-directed RNA polymerase subunit beta,Transcription,Q89J74,Op3418,
bll5411,BA000040.2,5956380,5956757,-,rplL,rplL,50S ribosomal protein L7/L12,"Translation, ribosomal structure and biogenesis",Q89J73,Op3419,
bll5412,BA000040.2,5956812,5957357,-,rplJ,rplJ,50S ribosomal protein L10,"Translation, ribosomal structure and biogenesis",,Op3419,
bll5413,BA000040.2,5957912,5958865,-,bll5413,AAV28_RS23875,2-hydroxyacid dehydrogenase,Energy production and conversion,Q89J71,Op3420,
bll5414,BA000040.2,5958973,5959665,-,rplA,rplA,50S ribosomal protein L1,"Translation, ribosomal structure and biogenesis",Q89J70,Op3421,
bll5415,BA000040.2,5959672,5960100,-,rplK,rplK,50S ribosomal protein L11,"Translation, ribosomal structure and biogenesis",Q89J69,Op3421,
bll5416,BA000040.2,5960232,5960786,-,nusG,nusG,transcription termination/antitermination protein NusG,Transcription,Q89J68,Op3422,
bll5418,BA000040.2,5961336,5962604,-,bll5418,AAV28_RS23900,class I SAM-dependent methyltransferase,Function unknown,Q89J66,Op3423,
bll5419,BA000040.2,5962690,5963712,-,bll5419,AAV28_RS23905,flippase-like domain-containing protein,Function unknown,Q89J65,Op3424,
bll5420,BA000040.2,5963725,5964336,-,bll5420,AAV28_RS23910,SIS domain-containing protein,Carbohydrate transport and metabolism,,Op3424,
bll5437,BA000040.2,5980055,5981749,-,bll5437,AAV28_RS23995,hypothetical protein,No COG annotation,,Op3430,
bll5442,BA000040.2,5985456,5986223,-,bll5442,AAV28_RS24025,SDR family oxidoreductase,Lipid transport and metabolism,Q89J42,Op3434,
bll5443,BA000040.2,5986364,5987176,-,bll5443,AAV28_RS24030,histidine phosphatase family protein,Carbohydrate transport and metabolism,,Op3435,
bll5445,BA000040.2,5988882,5989937,-,bll5445,AAV28_RS24040,AraC family transcriptional regulator,Transcription,,Op3437,
bll5451,BA000040.2,5994879,5995505,-,rhtB,AAV28_RS24070,LysE family translocator,Amino acid transport and metabolism,Q89J33,Op3443,
bll5452,BA000040.2,5995527,5995868,-,bll5452,AAV28_RS24075,NIPSNAP family protein,Function unknown,Q89J32,Op3443,
bll5454,BA000040.2,5996352,5997416,-,bll5454,AAV28_RS24085,phosphotransferase family protein,Function unknown,Q89J30,Op3445,
bll5455,BA000040.2,5997556,5998791,-,bll5455,AAV28_RS24090,acyl-CoA dehydrogenase family protein,Lipid transport and metabolism,Q89J29,Op3446,PsrA
bll5457,BA000040.2,5999792,6000193,-,bll5457,AAV28_RS24100,RidA family protein,"Translation, ribosomal structure and biogenesis",,Op3448,
bll5458,BA000040.2,6000654,6001529,-,bll5458,AAV28_RS24110,3-keto-5-aminohexanoate cleavage protein,Function unknown,Q89J26,Op3450,
bll5459,BA000040.2,6001534,6002763,-,bll5459,AAV28_RS24115,CoA transferase,Energy production and conversion,Q89J25,Op3450,
bll5460,BA000040.2,6002947,6004197,-,bll5460,AAV28_RS24120,MFS transporter,Amino acid transport and metabolism,,Op3451,
bll5461,BA000040.2,6004287,6005114,-,bll5461,AAV28_RS24125,3-keto-5-aminohexanoate cleavage protein,Function unknown,Q89J23,Op3452,
bll5462,BA000040.2,6005244,6006641,-,bll5462,AAV28_RS24130,MHS family MFS transporter,Amino acid transport and metabolism,Q89J22,Op3453,
bll5464,BA000040.2,6007503,6008456,-,fcl,AAV28_RS24140,GDP-L-fucose synthase,Carbohydrate transport and metabolism,,Op3456,
bll5465,BA000040.2,6008437,6009507,-,gmd,gmd,GDP-mannose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,Q89J19,Op3456,
bll5466,BA000040.2,6010015,6010374,-,bll5466,AAV28_RS24150,hypothetical protein,No COG annotation,,Op3457,
bll5471,BA000040.2,6017600,6030232,-,bll5471,AAV28_RS24175,DUF5801 domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3461,
bll5472,BA000040.2,6030343,6030714,-,bll5472,,,No COG annotation,,-,
bll5475,BA000040.2,6032510,6033523,-,bll5475,AAV28_RS24200,formate dehydrogenase subunit gamma,Energy production and conversion,Q89J09,Op3467,
bll5476,BA000040.2,6033567,6034163,-,fdh3B,fdh3B,formate dehydrogenase FDH3 subunit beta,Energy production and conversion,Q89J08,Op3468,
bll5477,BA000040.2,6034176,6035453,-,bll5477,,,Energy production and conversion,,-,
bll5478,BA000040.2,6035509,6037119,-,bll5478,,,Energy production and conversion,,-,
bll5480,BA000040.2,6037370,6038149,-,bll5480,AAV28_RS24220,molecular chaperone TorD family protein,Function unknown,Q89J04,Op3468,
bll5481,BA000040.2,6038282,6038908,-,bll5481,AAV28_RS24225,DUF3306 domain-containing protein,Function unknown,Q89J03,Op3469,
bll5482,BA000040.2,6039420,6040427,-,bll5482,AAV28_RS24235,DUF6352 family protein,No COG annotation,Q89J02,Op3469,
bll5483,BA000040.2,6040975,6041817,-,bll5483,AAV28_RS24245,biotin/lipoate--protein ligase family protein,Coenzyme transport and metabolism,,Op3469,
bll5485,BA000040.2,6044210,6045679,-,bll5485,AAV28_RS24260,c-type cytochrome,Energy production and conversion,,Op3471,
bll5488,BA000040.2,6047144,6049867,-,bll5488,AAV28_RS24275,ATP-binding protein,Signal transduction mechanisms,,Op3473,
bll5492,BA000040.2,6051628,6052218,-,bll5492,AAV28_RS24300,TMEM175 family protein,Function unknown,Q89IZ2,Op3477,
bll5494,BA000040.2,6054411,6055658,-,bll5494,AAV28_RS24310,amidohydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89IZ0,Op3479,
bll5495,BA000040.2,6055671,6056174,-,bll5495,AAV28_RS24315,GAF domain-containing protein,Signal transduction mechanisms,Q89IY9,Op3479,
bll5496,BA000040.2,6056171,6057529,-,bll5496,AAV28_RS24320,MFS transporter,Amino acid transport and metabolism,Q89IY8,Op3479,
bll5500,BA000040.2,6061101,6061580,-,bll5500,AAV28_RS24345,hypothetical protein,No COG annotation,Q89IY4,Op3483,
bll5501,BA000040.2,6061625,6062110,-,bll5501,AAV28_RS24350,hypothetical protein,No COG annotation,Q89IY3,Op3484,
bll5503,BA000040.2,6063127,6063621,-,bll5503,AAV28_RS24365,GFA family protein,Function unknown,,Op3486,
bll5504,BA000040.2,6063817,6065724,-,bll5504,AAV28_RS24370,PQQ-binding-like beta-propeller repeat protein,Energy production and conversion,,Op3487,
bll5505,BA000040.2,6065758,6066471,-,bll5505,AAV28_RS24375,class I SAM-dependent methyltransferase,Cell wall/membrane/envelope biogenesis,Q89IX9,Op3488,
bll5506,BA000040.2,6066552,6067271,-,bll5506,AAV28_RS24380,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89IX8,Op3489,
bll5507,BA000040.2,6067517,6068296,-,bll5507,,,Cell motility,,-,
bll5510,BA000040.2,6070047,6070760,-,bll5510,AAV28_RS24415,porin family protein,Cell wall/membrane/envelope biogenesis,,Op3496,
bll5511,BA000040.2,6071672,6072271,-,bll5511,,,No COG annotation,,-,
bll5514,BA000040.2,6074319,6075881,-,bll5514,AAV28_RS24440,peptidase S10,Amino acid transport and metabolism,Q89IX0,Op3501,
bll5519,BA000040.2,6078350,6079525,-,bll5519,AAV28_RS24460,DUF2336 domain-containing protein,Function unknown,Q89IW5,Op3504,
bll5520,BA000040.2,6079698,6080798,-,bll5520,AAV28_RS24465,transglycosylase,Cell wall/membrane/envelope biogenesis,,Op3505,
bll5521,BA000040.2,6080963,6081385,-,hisI,hisI,phosphoribosyl-AMP cyclohydrolase,Amino acid transport and metabolism,Q89IW3,Op3506,
bll5522,BA000040.2,6081413,6082102,-,folE,folE,GTP cyclohydrolase I FolE,Coenzyme transport and metabolism,Q89IW2,Op3506,
bll5524,BA000040.2,6082914,6083774,-,bll5524,AAV28_RS24485,hypothetical protein,Function unknown,,Op3508,PhaR
bll5527,BA000040.2,6084706,6085662,-,bll5527,AAV28_RS24500,PDR/VanB family oxidoreductase,Energy production and conversion,Q89IV7,Op3511,
bll5528,BA000040.2,6085659,6086180,-,bll5528,AAV28_RS24505,MOSC domain-containing protein,Function unknown,Q89IV6,Op3511,
bll5529,BA000040.2,6086236,6087549,-,bll5529,AAV28_RS24510,MHS family MFS transporter,Amino acid transport and metabolism,Q89IV5,Op3512,
bll5531,BA000040.2,6088490,6089701,-,bll5531,AAV28_RS24525,hypothetical protein,No COG annotation,Q89IV3,Op3514,
bll5532,BA000040.2,6089704,6091071,-,bll5532,AAV28_RS24530,amino acid permease,Amino acid transport and metabolism,Q89IV2,Op3514,
bll5535,BA000040.2,6093242,6093631,-,bll5535,AAV28_RS24545,hypothetical protein,No COG annotation,Q89IU9,Op3517,
bll5536,BA000040.2,6093722,6094891,-,bll5536,AAV28_RS24550,MFS transporter,Amino acid transport and metabolism,Q89IU8,Op3518,
bll5542,BA000040.2,6101918,6104425,-,bll5542,AAV28_RS24580,EAL domain-containing protein,Signal transduction mechanisms,,Op3523,
bll5543,BA000040.2,6105447,6106307,-,bll5543,AAV28_RS24585,LysR family transcriptional regulator,Transcription,,Op3524,
bll5547,BA000040.2,6107949,6108932,-,bll5547,AAV28_RS24600,aldo/keto reductase,Energy production and conversion,Q89IT7,Op3527,
bll5549,BA000040.2,6110121,6111194,-,bll5549,AAV28_RS24610,hypothetical protein,No COG annotation,Q89IT5,Op3529,
bll5551,BA000040.2,6112478,6112906,-,bll5551,AAV28_RS24620,CBS domain-containing protein,Function unknown,Q89IT3,Op3531,
bll5552,BA000040.2,6113097,6114395,-,bll5552,,,Function unknown,,-,
bll5555,BA000040.2,6116549,6117034,-,bll5555,AAV28_RS24640,phasin,Function unknown,Q89IS9,Op3536,
bll5557,BA000040.2,6118006,6118812,-,bll5557,AAV28_RS24650,transglutaminase family protein,Amino acid transport and metabolism,Q89IS7,Op3538,
bll5559,BA000040.2,6119508,6119990,-,bll5559,AAV28_RS24660,hypothetical protein,Function unknown,,Op3540,
bll5562,BA000040.2,6121063,6123015,-,deaD,AAV28_RS24675,DEAD/DEAH box helicase,"Replication, recombination and repair",,Op3543,
bll5565,BA000040.2,6124348,6125052,-,bll5565,AAV28_RS24695,hypothetical protein,No COG annotation,,Op3546,
bll5566,BA000040.2,6125068,6126372,-,bll5566,AAV28_RS24700,zinc-binding dehydrogenase,Amino acid transport and metabolism,,Op3547,
bll5570,BA000040.2,6129683,6131197,-,bll5570,AAV28_RS24720,amidohydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3551,
bll5572,BA000040.2,6131664,6132371,-,bll5572,AAV28_RS24730,GntR family transcriptional regulator,Transcription,Q89IR2,Op3553,
bll5579,BA000040.2,6138420,6138839,-,bll5579,AAV28_RS24765,hypothetical protein,No COG annotation,Q89IQ5,Op3557,
bll5581,BA000040.2,6139451,6139981,-,bll5581,AAV28_RS24775,gamma carbonic anhydrase family protein,Function unknown,Q89IQ3,Op3559,
bll5582,BA000040.2,6140068,6140397,-,bll5582,AAV28_RS24780,hypothetical protein,No COG annotation,Q89IQ2,Op3560,
bll5586,BA000040.2,6142298,6143251,-,cysE,cysE,serine O-acetyltransferase,Amino acid transport and metabolism,,Op3564,
bll5588,BA000040.2,6144754,6145629,-,bll5588,AAV28_RS24810,alpha/beta hydrolase,Function unknown,,Op3566,
bll5589,BA000040.2,6145545,6146681,-,bll5589,AAV28_RS24815,hypothetical protein,No COG annotation,Q89IP5,Op3566,
bll5592,BA000040.2,6148493,6148909,-,bll5592,AAV28_RS24830,hypothetical protein,No COG annotation,Q89IP2,Op3568,
bll5593,BA000040.2,6149267,6150277,-,bll5593,AAV28_RS24840,hypothetical protein,No COG annotation,,Op3569,
bll5595,BA000040.2,6151954,6153621,-,bll5595,AAV28_RS24850,glycosyltransferase family 39 protein,Cell wall/membrane/envelope biogenesis,,Op3571,
bll5596,BA000040.2,6153771,6155381,-,bll5596,AAV28_RS24855,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89IN8,Op3572,
bll5605,BA000040.2,6166135,6167112,-,bll5605,AAV28_RS24900,NADPH:quinone oxidoreductase family protein,Energy production and conversion,Q89IM9,Op3578,
bll5606,BA000040.2,6167112,6167720,-,bll5606,AAV28_RS24905,2-hydroxychromene-2-carboxylate isomerase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89IM8,Op3578,
bll5607,BA000040.2,6167875,6168576,-,bll5607,AAV28_RS24910,glutathione S-transferase N-terminal domain-containing protein,"Post-translational modification, protein turnover, and chaperones",Q89IM7,Op3579,
bll5609,BA000040.2,6169727,6170344,-,bll5609,AAV28_RS24920,hypothetical protein,No COG annotation,Q89IM5,Op3581,
bll5610,BA000040.2,6170477,6171007,-,gpt,gpt,xanthine phosphoribosyltransferase,Nucleotide transport and metabolism,,Op3582,
bll5611,BA000040.2,6171043,6171780,-,cinA,AAV28_RS24930,molybdopterin-binding protein,Function unknown,Q89IM3,Op3582,
bll5619,BA000040.2,6178861,6179667,-,bll5619,AAV28_RS24970,hypothetical protein,No COG annotation,,Op3588,
bll5620,BA000040.2,6179978,6181327,-,bll5620,AAV28_RS24975,MFS transporter,Amino acid transport and metabolism,,Op3589,
bll5622,BA000040.2,6182779,6183306,-,bll5622,AAV28_RS24985,cupin domain-containing protein,Function unknown,Q89IL2,Op3591,
bll5628,BA000040.2,6188854,6189600,-,lepB,lepB,signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",Q89IK6,Op3596,
bll5629,BA000040.2,6189764,6191092,-,bll5629,AAV28_RS25020,slipin family protein,"Post-translational modification, protein turnover, and chaperones",,Op3597,
bll5630,BA000040.2,6191584,6192417,-,bll5630,AAV28_RS25035,LysR family transcriptional regulator,Transcription,Q89IK4,Op3598,
bll5635,BA000040.2,6196236,6197498,-,bll5635,AAV28_RS25060,DUF2778 domain-containing protein,Function unknown,,Op3602,
bll5638,BA000040.2,6200514,6202016,-,bll5638,AAV28_RS25075,glycosyltransferase family 39 protein,Cell wall/membrane/envelope biogenesis,Q89IJ6,Op3605,
bll5639,BA000040.2,6202035,6203168,-,bll5639,AAV28_RS25080,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,Q89IJ5,Op3605,
bll5640,BA000040.2,6203696,6204076,-,bll5640,AAV28_RS25090,hypothetical protein,No COG annotation,Q89IJ4,Op3607,
bll5643,BA000040.2,6205613,6206542,-,bll5643,AAV28_RS25105,PhzF family phenazine biosynthesis protein,Function unknown,,Op3609,
bll5644,BA000040.2,6206652,6207545,-,bll5644,AAV28_RS25110,amidohydrolase family protein,Function unknown,Q89IJ0,Op3610,
bll5645,BA000040.2,6207568,6208809,-,bll5645,AAV28_RS25115,MFS transporter,Amino acid transport and metabolism,Q89II9,Op3610,
bll5646,BA000040.2,6208860,6209591,-,bll5646,AAV28_RS25120,GntR family transcriptional regulator,Transcription,Q89II8,Op3611,
bll5647,BA000040.2,6210035,6211342,-,bll5647,AAV28_RS25130,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Q89II7,Op3613,
bll5648,BA000040.2,6211449,6212612,-,bll5648,AAV28_RS25135,ABC transporter permease,Defense mechanisms,Q89II6,Op3614,
bll5649,BA000040.2,6212609,6213541,-,bll5649,AAV28_RS25140,ABC transporter ATP-binding protein,Defense mechanisms,Q89II5,Op3614,
bll5650,BA000040.2,6213538,6214326,-,bll5650,AAV28_RS25145,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,Q89II4,Op3614,
bll5651,BA000040.2,6214323,6215003,-,bll5651,AAV28_RS25150,TetR/AcrR family transcriptional regulator,Transcription,Q89II3,Op3614,
bll5655,BA000040.2,6216450,6217475,-,adhP,adhP,alcohol dehydrogenase AdhP,Function unknown,Q89IH9,Op3616,"FixK,FnrN,AadR"
bll5656,BA000040.2,6217619,6218041,-,bll5656,AAV28_RS25175,DUF2000 family protein,Function unknown,,Op3617,
bll5657,BA000040.2,6218151,6218540,-,bll5657,AAV28_RS25180,DUF4189 domain-containing protein,Function unknown,Q89IH7,Op3618,
bll5659,BA000040.2,6219359,6220963,-,bll5659,AAV28_RS25190,molybdopterin-binding/glycosyltransferase family 2 protein,Function unknown,Q89IH5,Op3620,
bll5660,BA000040.2,6220960,6221661,-,bll5660,AAV28_RS25195,XdhC family protein,"Post-translational modification, protein turnover, and chaperones",Q89IH4,Op3620,
bll5661,BA000040.2,6221664,6221987,-,bll5661,AAV28_RS25200,hypothetical protein,"Post-translational modification, protein turnover, and chaperones",H7C815,Op3620,
bll5662,BA000040.2,6221999,6223267,-,bll5662,AAV28_RS25205,VWA domain-containing protein,Function unknown,,Op3620,
bll5663,BA000040.2,6223346,6224254,-,bll5663,AAV28_RS25210,MoxR family ATPase,Function unknown,H7C7S6,Op3621,
bll5664,BA000040.2,6224317,6225123,-,cooxM,AAV28_RS25215,xanthine dehydrogenase family protein subunit M,Energy production and conversion,Q89IH3,Op3622,
bll5665,BA000040.2,6225160,6225651,-,cooxS,AAV28_RS25220,(2Fe-2S)-binding protein,Energy production and conversion,,Op3622,
bll5666,BA000040.2,6225781,6226227,-,bll5666,AAV28_RS25225,carbon monoxide dehydrogenase subunit G,Function unknown,Q89IH1,Op3623,
bll5676,BA000040.2,6235542,6235982,-,bll5676,AAV28_RS25280,response regulator,Signal transduction mechanisms,,Op3629,
bll5679,BA000040.2,6240192,6240974,-,bll5679,AAV28_RS25295,EF-hand domain-containing protein,"Cell cycle control, cell division, chromosome partitioning",Q89IG0,Op3632,
bll5681,BA000040.2,6242214,6242621,-,bll5681,,,No COG annotation,,-,
bll5682,BA000040.2,6242657,6244090,-,bll5682,AAV28_RS25315,bifunctional serine/threonine-protein kinase/universal stress protein,Transcription,Q89IF7,Op3636,
bll5683,BA000040.2,6244097,6244837,-,bll5683,AAV28_RS25320,metallophosphatase family protein,Signal transduction mechanisms,Q89IF6,Op3636,
bll5684,BA000040.2,6244954,6245559,-,bll5684,AAV28_RS25325,hypothetical protein,No COG annotation,Q89IF5,Op3637,
bll5685,BA000040.2,6245552,6246223,-,bll5685,AAV28_RS25330,hypothetical protein,No COG annotation,Q89IF4,Op3637,
bll5686,BA000040.2,6246220,6246990,-,bll5686,AAV28_RS25335,MotA/TolQ/ExbB proton channel family protein,"Intracellular trafficking, secretion, and vesicular transport",Q89IF3,Op3637,
bll5689,BA000040.2,6249648,6250265,-,bll5689,AAV28_RS25355,TetR family transcriptional regulator,Transcription,,Op3640,
bll5692,BA000040.2,6253445,6255400,-,bll5692,AAV28_RS25370,ATP-binding protein,Signal transduction mechanisms,,Op3643,
bll5694,BA000040.2,6256868,6258193,-,bll5694,AAV28_RS25380,hypothetical protein,Function unknown,Q89IE5,Op3646,
bll5695,BA000040.2,6258535,6260478,-,bll5695,AAV28_RS25385,caspase family protein,Function unknown,,Op3647,
bll5696,BA000040.2,6260388,6262304,-,bll5696,AAV28_RS25390,caspase family protein,Function unknown,,Op3647,
bll5697,BA000040.2,6262400,6264307,-,bll5697,AAV28_RS25395,acyl-CoA synthetase,Lipid transport and metabolism,Q89IE2,Op3648,
bll5700,BA000040.2,6266705,6267346,-,bll5700,AAV28_RS25410,glutathione S-transferase,"Post-translational modification, protein turnover, and chaperones",Q89ID9,Op3651,
bll5701,BA000040.2,6267518,6268069,-,bll5701,AAV28_RS25415,cytochrome b,Energy production and conversion,Q89ID8,Op3652,
bll5708,BA000040.2,6273542,6274825,-,bll5708,AAV28_RS25450,serine hydrolase,Defense mechanisms,,Op3660,
bll5709,BA000040.2,6274806,6276146,-,bll5709,AAV28_RS25455,serine hydrolase,Defense mechanisms,,Op3660,
bll5710,BA000040.2,6276139,6276690,-,bll5710,AAV28_RS25460,O-acetyl-ADP-ribose deacetylase,Function unknown,Q89IC9,Op3661,
bll5711,BA000040.2,6276694,6277026,-,grxD,grxD,Grx4 family monothiol glutaredoxin,"Post-translational modification, protein turnover, and chaperones",,Op3661,
bll5714,BA000040.2,6279840,6281036,-,bll5714,AAV28_RS25480,low temperature requirement protein A,Function unknown,,Op3664,
bll5719,BA000040.2,6283610,6285820,-,purL,purL,phosphoribosylformylglycinamidine synthase subunit PurL,Nucleotide transport and metabolism,Q89IC0,Op3668,
bll5722,BA000040.2,6287534,6288508,-,bll5722,AAV28_RS25520,tripartite tricarboxylate transporter substrate binding protein BugD,Function unknown,Q89IB7,Op3671,
bll5723,BA000040.2,6288505,6289206,-,purQ,purQ,phosphoribosylformylglycinamidine synthase subunit PurQ,Nucleotide transport and metabolism,Q89IB6,Op3671,
bll5726,BA000040.2,6290113,6290835,-,bll5726,,,"Replication, recombination and repair",,-,
bll5729,BA000040.2,6291916,6292683,-,purC,AAV28_RS25550,phosphoribosylaminoimidazolesuccinocarboxamide synthase,Nucleotide transport and metabolism,Q89IB0,Op3675,
bll5731,BA000040.2,6293433,6293921,-,cynS,cynS,cyanase,Inorganic ion transport and metabolism,Q89IA8,Op3677,
bll5732,BA000040.2,6293937,6294860,-,nrtC,AAV28_RS25565,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q89IA7,Op3677,
bll5733,BA000040.2,6294867,6295874,-,ntrB,ntrB,nitrate ABC transporter permease,Inorganic ion transport and metabolism,,Op3677,
bll5734,BA000040.2,6295871,6297250,-,nrtA,AAV28_RS25575,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Q89IA5,Op3678,RpoN
bll5736,BA000040.2,6299345,6300223,-,bll5736,AAV28_RS25585,sulfurtransferase,Inorganic ion transport and metabolism,Q89IA3,Op3680,
bll5737,BA000040.2,6300272,6301420,-,bll5737,AAV28_RS25590,acyl-CoA/acyl-ACP dehydrogenase,Lipid transport and metabolism,,Op3681,
bll5738,BA000040.2,6301441,6301983,-,bll5738,AAV28_RS25595,OsmC family protein,"Post-translational modification, protein turnover, and chaperones",Q89IA1,Op3681,
bll5740,BA000040.2,6302985,6304526,-,bll5740,AAV28_RS25605,alpha/beta fold hydrolase,Lipid transport and metabolism,Q89I99,Op3683,
bll5745,BA000040.2,6308481,6311021,-,bll5745,AAV28_RS25630,patatin-like phospholipase family protein,Function unknown,,Op3686,
bll5746,BA000040.2,6311150,6312346,-,bll5746,AAV28_RS25635,TrmJ/YjtD family RNA methyltransferase,"Translation, ribosomal structure and biogenesis",Q89I93,Op3687,
bll5749,BA000040.2,6314501,6315862,-,bll5749,AAV28_RS25650,cyclic nucleotide-gated ion channel/potassium channel family protein,Signal transduction mechanisms,,Op3690,
bll5750,BA000040.2,6315732,6318416,-,alaS,alaS,alanine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q89I89,Op3690,
bll5754,BA000040.2,6323569,6324585,-,bll5754,AAV28_RS25675,hypothetical protein,No COG annotation,,Op3692,
bll5755,BA000040.2,6324669,6325757,-,recA,recA,recombinase RecA,"Replication, recombination and repair",Q89I84,Op3693,LexA
bll5758,BA000040.2,6327462,6327863,-,bll5758,,,No COG annotation,,-,
bll5762,BA000040.2,6329601,6330023,-,bll5762,,,No COG annotation,,-,
bll5764,BA000040.2,6330947,6331282,-,bll5764,AAV28_RS25725,hypothetical protein,No COG annotation,,Op3703,
bll5766,BA000040.2,6332543,6332848,-,bll5766,AAV28_RS25745,HdeA family protein,Function unknown,,Op3706,
bll5770,BA000040.2,6335310,6335666,-,bll5770,AAV28_RS25775,carboxymuconolactone decarboxylase family protein,Function unknown,Q89I69,Op3712,
bll5771,BA000040.2,6335677,6338901,-,bll5771,AAV28_RS25780,efflux RND transporter permease subunit,Defense mechanisms,Q89I68,Op3712,
bll5772,BA000040.2,6338898,6339908,-,bll5772,AAV28_RS25785,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,,Op3712,
bll5773,BA000040.2,6340017,6340337,-,bll5773,AAV28_RS25790,metalloregulator ArsR/SmtB family transcription factor,Transcription,,Op3713,
bll5780,BA000040.2,6345633,6346298,-,bll5780,AAV28_RS25825,DsbA family oxidoreductase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89I59,Op3717,
bll5781,BA000040.2,6346370,6347191,-,bll5781,AAV28_RS25830,helix-turn-helix transcriptional regulator,Transcription,Q89I58,Op3718,
bll5782,BA000040.2,6347433,6348455,-,bll5782,AAV28_RS25835,ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,,Op3719,
bll5783,BA000040.2,6348482,6349522,-,bll5783,AAV28_RS25840,ABC transporter permease,Function unknown,Q89I56,Op3720,
bll5784,BA000040.2,6349515,6351038,-,bll5784,AAV28_RS25845,sugar ABC transporter ATP-binding protein,Carbohydrate transport and metabolism,Q89I55,Op3720,
bll5785,BA000040.2,6351165,6352610,-,xylB,xylB,xylulokinase,Carbohydrate transport and metabolism,Q89I54,Op3721,
bll5787,BA000040.2,6353623,6354183,-,bll5787,AAV28_RS25865,SET domain-containing protein,Function unknown,Q89I52,Op3724,
bll5789,BA000040.2,6354975,6355715,-,bll5789,AAV28_RS25875,WHG domain-containing protein,Transcription,Q89I50,Op3726,
bll5796,BA000040.2,6360352,6362007,-,bll5796,AAV28_RS25910,fumarate hydratase,Energy production and conversion,Q89I43,Op3731,Irr
bll5800,BA000040.2,6364304,6365011,-,bll5800,AAV28_RS25925,glutathione S-transferase,"Post-translational modification, protein turnover, and chaperones",Q89I39,Op3735,
bll5801,BA000040.2,6365090,6365953,-,bll5801,AAV28_RS25930,hypothetical protein,No COG annotation,,Op3736,
bll5806,BA000040.2,6369606,6370991,-,atzF,atzF,allophanate hydrolase,"Translation, ribosomal structure and biogenesis",Q89I33,Op300,
bll5807,BA000040.2,6371161,6372162,-,bll5807,AAV28_RS25960,Tim44 domain-containing protein,Function unknown,Q89I32,Op3739,
bll5808,BA000040.2,6372634,6375219,-,bll5808,AAV28_RS25965,PAS domain-containing protein,Signal transduction mechanisms,Q89I31,Op3740,
